Year,School,City,County/State/ Territory,Count,All,African American,American Indian,Hispanic/ Latinx,Pacific Islander,Asian,White,Domestic Unknown,Int'l
2012,ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,App,83,,,11,,70,,,
2012,ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,Adm,10,,,,,,,,
2012,ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,Enr,3,,,,,,,,
2012,ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,App,24,,,,,7,9,,
2012,ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,Adm,5,,,,,,,,
2012,ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,Enr,,,,,,,,,
2012,ALISAL HIGH SCHOOL,Salinas,Monterey,App,37,,,,,,,,
2012,ALISAL HIGH SCHOOL,Salinas,Monterey,Adm,11,,,,,,,,
2012,ALISAL HIGH SCHOOL,Salinas,Monterey,Enr,9,,,,,,,,
2012,ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,App,78,,,6,,30,40,,
2012,ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,Adm,19,,,,,7,10,,
2012,ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,Enr,6,,,,,4,,,
2012,ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,App,19,,,8,,,,,
2012,ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,Adm,4,,,,,,,,
2012,ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,Enr,,,,,,,,,
2012,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,App,116,,,6,,67,36,,
2012,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,Adm,27,,,,,19,7,,
2012,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,Enr,15,,,,,12,,,
2012,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,App,,,,,,,,,
2012,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,Adm,,,,,,,,,
2012,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,Enr,,,,,,,,,
2012,AMERICAN HIGH SCHOOL,Fremont,Alameda,App,87,,,,,71,,,
2012,AMERICAN HIGH SCHOOL,Fremont,Alameda,Adm,13,,,,,12,,,
2012,AMERICAN HIGH SCHOOL,Fremont,Alameda,Enr,9,,,,,8,,,
